list_name,label,name,district,upazila,union_name,ward
district_list,Patuakhali,78,,,,
district_list,Barisal,68,,,,
district_list,Barguna,04,,,,
upazila_list,Amtoli,0409,04,,,
upazila_list,Patuakhali Sadar,7895,78,,,
upazila_list,Galachipa,7857,78,,,
upazila_list,Rangabali,7897,78,,,
union_list,Madarbunia,789567,78,7895,,
union_list,Auliapur,789510,78,7895,,
union_list,Atharogachia,040923,04,0409,,
union_list,Gulishakhali,040963,04,0409,,
union_list,Kukua,040987,04,0409,,
union_list,Amkhola,785711,78,7857,,
union_list,Char Biswash,785737,78,7857,,
union_list,Char Kajol,785739,78,7857,,
union_list,Chiknikandi,785750,78,7857,,
union_list,Dakua,785755,78,7857,,
union_list,Gazalia,785769,78,7857,,
union_list,Golachipa Sadar,785767,78,7857,,
union_list,Panpatti,785778,78,7857,,
union_list,Chalitabunia,789732,78,7897,,
union_list,Char Montaj,789734,78,7897,,
union_list,Chotabaisdia,789744,78,7897,,
union_list,Rangabali,789783,78,7897,,
union_list,Baro Bighai,789531,78,7895,,
union_list,Choto Bigai,789513,78,7895,,
union_list,Jain Kathi,789527,78,7895,,
union_list,Kalikapur,789533,78,7895,,
union_list,Morich Bunia,789574,78,7895,,
ward_list,1,7895671,78,7895,789567,
ward_list,2,7895672,78,7895,789567,
ward_list,3,7895673,78,7895,789567,
ward_list,4,7895674,78,7895,789567,
ward_list,5,7895675,78,7895,789567,
ward_list,6,7895676,78,7895,789567,
ward_list,7,7895677,78,7895,789567,
ward_list,8,7895678,78,7895,789567,
ward_list,9,7895679,78,7895,789567,
ward_list,1,7895101,78,7895,789510,
ward_list,2,7895102,78,7895,789510,
ward_list,3,7895103,78,7895,789510,
ward_list,4,7895104,78,7895,789510,
ward_list,5,7895105,78,7895,789510,
ward_list,6,7895106,78,7895,789510,
ward_list,7,7895107,78,7895,789510,
ward_list,8,7895108,78,7895,789510,
ward_list,9,7895109,78,7895,789510,
ward_list,1,0409231,04,0409,040923,
ward_list,2,0409232,04,0409,040923,
ward_list,3,0409233,04,0409,040923,
ward_list,4,0409234,04,0409,040923,
ward_list,5,0409235,04,0409,040923,
ward_list,6,0409236,04,0409,040923,
ward_list,7,0409237,04,0409,040923,
ward_list,8,0409238,04,0409,040923,
ward_list,9,0409239,04,0409,040923,
ward_list,1,0409631,04,0409,040963,
ward_list,2,0409632,04,0409,040963,
ward_list,3,0409633,04,0409,040963,
ward_list,4,0409634,04,0409,040963,
ward_list,5,0409635,04,0409,040963,
ward_list,6,0409636,04,0409,040963,
ward_list,7,0409637,04,0409,040963,
ward_list,8,0409638,04,0409,040963,
ward_list,9,0409639,04,0409,040963,
ward_list,1,0409871,04,0409,040987,
ward_list,2,0409872,04,0409,040987,
ward_list,3,0409873,04,0409,040987,
ward_list,4,0409874,04,0409,040987,
ward_list,5,0409875,04,0409,040987,
ward_list,6,0409876,04,0409,040987,
ward_list,7,0409877,04,0409,040987,
ward_list,8,0409878,04,0409,040987,
ward_list,9,0409879,04,0409,040987,
ward_list,1,7857111,78,7857,785711,
ward_list,2,7857112,78,7857,785711,
ward_list,3,7857113,78,7857,785711,
ward_list,4,7857114,78,7857,785711,
ward_list,5,7857115,78,7857,785711,
ward_list,6,7857116,78,7857,785711,
ward_list,7,7857117,78,7857,785711,
ward_list,8,7857118,78,7857,785711,
ward_list,9,7857119,78,7857,785711,
ward_list,1,7857371,78,7857,785737,
ward_list,2,7857372,78,7857,785737,
ward_list,3,7857373,78,7857,785737,
ward_list,4,7857374,78,7857,785737,
ward_list,5,7857375,78,7857,785737,
ward_list,6,7857376,78,7857,785737,
ward_list,7,7857377,78,7857,785737,
ward_list,8,7857378,78,7857,785737,
ward_list,9,7857379,78,7857,785737,
ward_list,1,7857391,78,7857,785739,
ward_list,2,7857392,78,7857,785739,
ward_list,3,7857393,78,7857,785739,
ward_list,4,7857394,78,7857,785739,
ward_list,5,7857395,78,7857,785739,
ward_list,6,7857396,78,7857,785739,
ward_list,7,7857397,78,7857,785739,
ward_list,8,7857398,78,7857,785739,
ward_list,9,7857399,78,7857,785739,
ward_list,1,7857501,78,7857,785750,
ward_list,2,7857502,78,7857,785750,
ward_list,3,7857503,78,7857,785750,
ward_list,4,7857504,78,7857,785750,
ward_list,5,7857505,78,7857,785750,
ward_list,6,7857506,78,7857,785750,
ward_list,7,7857507,78,7857,785750,
ward_list,8,7857508,78,7857,785750,
ward_list,9,7857509,78,7857,785750,
ward_list,1,7857551,78,7857,785755,
ward_list,2,7857552,78,7857,785755,
ward_list,3,7857553,78,7857,785755,
ward_list,4,7857554,78,7857,785755,
ward_list,5,7857555,78,7857,785755,
ward_list,6,7857556,78,7857,785755,
ward_list,7,7857557,78,7857,785755,
ward_list,8,7857558,78,7857,785755,
ward_list,9,7857559,78,7857,785755,
ward_list,1,7857691,78,7857,785769,
ward_list,2,7857692,78,7857,785769,
ward_list,3,7857693,78,7857,785769,
ward_list,4,7857694,78,7857,785769,
ward_list,5,7857695,78,7857,785769,
ward_list,6,7857696,78,7857,785769,
ward_list,7,7857697,78,7857,785769,
ward_list,8,7857698,78,7857,785769,
ward_list,9,7857699,78,7857,785769,
ward_list,1,7857671,78,7857,785767,
ward_list,2,7857672,78,7857,785767,
ward_list,3,7857673,78,7857,785767,
ward_list,4,7857674,78,7857,785767,
ward_list,5,7857675,78,7857,785767,
ward_list,6,7857676,78,7857,785767,
ward_list,7,7857677,78,7857,785767,
ward_list,8,7857678,78,7857,785767,
ward_list,9,7857679,78,7857,785767,
ward_list,1,7857781,78,7857,785778,
ward_list,2,7857782,78,7857,785778,
ward_list,3,7857783,78,7857,785778,
ward_list,4,7857784,78,7857,785778,
ward_list,5,7857785,78,7857,785778,
ward_list,6,7857786,78,7857,785778,
