list_name,label,name,districts,upazila,union_name,village,pra
district_list,Sirajganj,88
upazila_list,Kamarkhanda,8844,88
upazila_list,Tarash,8889,88
union_name_list,Magura Binod Union,888942,88,8889
union_name_list,Baruhas Union,888910,88,8889
union_name_list,Saguna Union,888963,88,8889
union_name_list,Deshigram Union,888921,88,8889
union_name_list,Madhainagar Union,888931,88,8889
union_name_list,Naogaon Union,888952,88,8889
union_name_list,Talam Union,888973,88,8889
union_name_list,Tarash Union,888984,88,8889
union_name_list,Jhawail Union,884457,88,8844
village_list,Teriyaki,88445701,88,8844,884457
