list_name,label,name,districts,upazila,union_name,village,pra
district_list,Sirajganj,88
upazila_list,Royganj,8861,88
union_name_list,Ward No-01,881101,88,8811
union_name_list,Ward No-04,881104,88,8811
union_name_list,Ward No-07,881107,88,8811
union_name_list,Sonakhara Union,886185,88,8861
union_name_list,Ward No-02,881102,88,8811
union_name_list,Ward No-05,881105,88,8811
union_name_list,Ward No-06,881106,88,8811
union_name_list,Ward No-03,881103,88,8811
union_name_list,Ward No-08,881108,88,8811
union_name_list,Ward No-09,881109,88,8811
union_name_list,Dhangara Union,886138,88,8861
pra_list,Purba Para,8861850101,88,8861,886185,88618501
village_list,Hamiskhali,88613801,88,8861,886138
village_list,Sokhipur,88618501,88,8861,886185
