list_name,label,name,districts,upazila,union_name,village,pra
district_list,Sirajganj,88
upazila_list,Kamarkhanda,8844,88
upazila_list,Royganj,8861,88
upazila_list,Tarash,8889,88
union_name_list,Dhamainagar Union,886128,88,8861
union_name_list,Deshigram Union,888921,88,8889
union_name_list,Ward No-01,881101,88,8811
union_name_list,Ward No-04,881104,88,8811
union_name_list,Talam Union,888973,88,8889
union_name_list,Ward No-07,881107,88,8811
union_name_list,Tarash Union,888984,88,8889
union_name_list,Ward No-05,881105,88,8811
union_name_list,Ward No-03,881103,88,8811
union_name_list,Ward No-08,881108,88,8811
union_name_list,Ward No-09,881109,88,8811
union_name_list,Dhangara Union,886138,88,8861
union_name_list,Baruhas Union,888910,88,8889
union_name_list,Saguna Union,888963,88,8889
union_name_list,Ghurka Union,886157,88,8861
union_name_list,Pangashi Union,886176,88,8861
union_name_list,Naogaon Union,888952,88,8889
union_name_list,Nalka Union,886166,88,8861
union_name_list,Roy Daulatpur Union,884476,88,8844
union_name_list,Sonakhara Union,886185,88,8861
union_name_list,Ward No-02,881102,88,8811
union_name_list,Chandaikona Union,886119,88,8861
union_name_list,Jamtail Union,884438,88,8844
union_name_list,Madhainagar Union,888931,88,8889
union_name_list,Bhadraghat Union,884419,88,8844
union_name_list,Jhawail Union,884457,88,8844
union_name_list,Ward No-06,881106,88,8811
union_name_list,Magura Binod Union,888942,88,8889
union_name_list,Dhubil Union,886147,88,8861
union_name_list,Brahmagachha Union,886113,88,8861
pra_list,Majhipara,8889100201,88,8889,888910,88891002
pra_list,Natunpara,8889100202,88,8889,888910,88891002
pra_list,Madhyampara,8889100101,88,8889,888910,88891001
village_list,Rasulpur,88891001,88,8889,888910
village_list,Ahmedpur,88891002,88,8889,888910
